lat,lon
37.91542319873781,-122.33429688754107
37.91542314855805,-122.33429675512794
37.9154231772046,-122.3342966991039
37.915423129831716,-122.33429656845847
37.91542308161319,-122.33429643790771
37.915423032309675,-122.33429630724007
37.915422982409765,-122.33429617640546
37.91542293519212,-122.33429604942351
37.91542290159986,-122.3342959978097
37.9154228524954,-122.33429586835675
37.91542280384458,-122.33429573849183
37.9154227555494,-122.33429560865459
37.91542270092706,-122.33429548561509
37.91542269969565,-122.33429547245383
37.91542265263371,-122.33429534739156
37.91542260602687,-122.33429522213643
37.915422559683414,-122.33429509686694
37.915422523482,-122.33429497278958
37.91542255358843,-122.33429480998792
37.91542251207369,-122.33429468439678
37.91542247075869,-122.33429455847302
37.9154224293824,-122.3342944323997
37.91542238174862,-122.33429430327679
37.91542230163494,-122.33429402832053
37.915422260048494,-122.33429389745447
37.91542221918206,-122.33429376660989
37.915422178696176,-122.33429363598555
37.91542213353952,-122.33429350647026
37.91542208934679,-122.3342933474443
37.915422048493646,-122.33429321060457
37.915422008337444,-122.33429307196465
37.915421968217665,-122.33429293147317
37.91542192716961,-122.33429279188033
37.91542188057648,-122.33429256337448
37.91542184098669,-122.33429241695735
37.91542180181371,-122.33429226918868
37.91542176038181,-122.3342921185669
37.91542172125106,-122.33429196838449
37.915421679120996,-122.33429188124299
37.9154216388551,-122.33429173032336
37.915421598664494,-122.33429157773686
37.91542155876497,-122.33429142401408
37.91542151229084,-122.33429128718294
37.91542145510905,-122.33429120523381
37.91542141314716,-122.33429105136267
37.9154213718628,-122.33429089546851
37.91542133125522,-122.33429073797109
37.915421288558264,-122.33429059123117
37.91542126963348,-122.3342904052678
37.915421229841336,-122.334290242129
37.91542119061715,-122.33429007800254
37.91542115173364,-122.33428991309403
37.915421120621694,-122.33428974349492
37.91542108299088,-122.33428957333923
37.91542104614561,-122.33428940255465
37.91542101017538,-122.33428923114339
37.915420974984244,-122.3342890585483
37.91542093153702,-122.33428890255927
37.91542093204659,-122.33428870610796
37.91542089570169,-122.334288526772
37.9154208596031,-122.33428834638215
37.91542082456894,-122.33428816493146
37.91542078612641,-122.33428799438401
37.91542075106623,-122.33428781194284
37.915420715532655,-122.33428762913785
37.915420679421146,-122.3342874462061
37.91542064318246,-122.33428726358076
37.915420590385985,-122.33428713327947
37.91542055418257,-122.33428694992179
37.91542051906622,-122.33428676663401
37.9154204845535,-122.33428658346392
37.91542044963376,-122.33428639894295
37.91542037198124,-122.33428628568045
37.91542033525115,-122.33428610290713
37.915420298268614,-122.33428592067075
37.915420260952914,-122.33428573909032
37.91542022365621,-122.33428555826352
37.91542017020067,-122.3342853976103
37.91542013220165,-122.33428521656298
37.91542009429812,-122.33428503492539
37.91542005650026,-122.3342848534152
37.91542001820647,-122.33428467244266
37.91541997911346,-122.3342844917987
37.91541993791129,-122.33428428500899
