timestamp,frame_id,child_frame_id,x,y,z,qx,qy,qz,qw,vx,vy,vz,rx,ry,rz
1696102188.610117049,map,base_link,-0.9580522775650024,66.7049560546875,-28.047277450561523,-0.0,-0.0,-0.1721127944554227,0.9850772487397856,-0.008237857729255612,-0.0011136694401451483,0.0,0.0,0.0,0.007387465671047958
1696102188.709258708,map,base_link,-0.9579272866249084,66.70429229736328,-28.048601150512695,-0.0,-0.0,-0.1721057323103336,0.9850784826123875,-0.0048352396444674055,-0.0006577175039213971,0.0,0.0,0.0,0.0006978513319341899
1696102188.809847122,map,base_link,-0.9579530954360962,66.70417022705078,-28.04869270324707,-0.0,-0.0,-0.17210172301351145,0.9850791830790967,-0.004442256518400236,-0.0006063719426391269,0.0,0.0,0.0,-1.7830760800186234e-05
1696102188.910220298,map,base_link,-0.9579432010650635,66.70414733886719,-28.048728942871094,-0.0,-0.0,-0.17209489677430231,0.9850803756568508,-0.004211416115373818,-0.0005782688936100352,0.0,0.0,0.0,-0.0002632239776002475
1696102189.13706288,map,base_link,-0.9580590724945068,66.70391082763672,-28.048688888549805,-0.0,-0.0,-0.17209788157183945,0.9850798542039549,-0.003939162260931073,-0.0005394923100499933,0.0,0.0,0.0,-0.003871625660174647
1696102189.112266812,map,base_link,-0.9573057293891907,66.70454406738281,-28.046842575073242,-0.0,-0.0,-0.17210838949581228,0.9850780183646155,-0.0047866678735425435,-0.0006496035997081509,0.0,0.0,0.0,0.007077208984095144
1696102189.212033350,map,base_link,-0.9576743245124817,66.70436096191406,-28.048093795776367,-0.0,-0.0,-0.1721178480792043,0.9850763657567793,-0.00417370754724432,-0.0005617419413675834,0.0,0.0,0.0,0.0007057673648197696
1696102189.312975277,map,base_link,-0.9581333994865417,66.7041015625,-28.04876708984375,-0.0,-0.0,-0.1721189436822357,0.985076174326489,-0.00474477714968799,-0.000637986900574367,0.0,0.0,0.0,-0.0009502603437627526
1696102189.413352933,map,base_link,-0.957722008228302,66.70497131347656,-28.048852920532227,-0.0,-0.0,-0.17210308027523644,0.9850789459529503,-0.005627403904764793,-0.0007672405820833244,0.0,0.0,0.0,0.00016834947805889942
1696102189.514486065,map,base_link,-0.956814706325531,66.70465850830078,-28.05013084411621,-0.0,-0.0,-0.17209006808347524,0.985081219223585,-0.003014436777562033,-0.00041563713536940016,0.0,0.0,0.0,-0.0049907840051612445
1696102189.615550139,map,base_link,-0.957026481628418,66.70440673828125,-28.04991340637207,-0.0,-0.0,-0.17209288235112258,0.9850807275772289,-0.0006366329551951916,-8.75679734053137e-05,0.0,0.0,0.0,-0.0025469405402443325
1696102189.716192218,map,base_link,-0.9576802849769592,66.70518493652344,-28.04987335205078,-0.0,-0.0,-0.17210129912554306,0.985079257135841,-0.005269590645349935,-0.000719568467842869,0.0,0.0,0.0,-0.00127441110645876
1696102189.818614726,map,base_link,-0.9577776789665222,66.70571899414062,-28.050521850585938,-0.0,-0.0,-0.17211036819158987,0.9850776726537636,-0.007246581761574526,-0.0009817423724430912,0.0,0.0,0.0,-0.0035201308001482994
1696102189.908357847,map,base_link,-0.957362949848175,66.7054214477539,-28.049901962280273,-0.0,-0.0,-0.17211435759745056,0.9850769756261776,-0.004510320207462524,-0.0006089114958049327,0.0,0.0,0.0,-0.00046190606704236406
1696102190.7783992,map,base_link,-0.9561470746994019,66.7050552368164,-28.04806137084961,-0.0,-0.0,-0.1721105245385271,0.9850776453371952,-0.0032079879170033507,-0.0004345479304014328,0.0,0.0,0.0,0.008882287594383203
1696102190.108295284,map,base_link,-0.9568495750427246,66.70538330078125,-28.049707412719727,-0.0,-0.0,-0.17210885192835007,0.9850779375703759,-0.003015005207543838,-0.00040900427094330303,0.0,0.0,0.0,0.0005561484217691684
1696102190.209462145,map,base_link,-0.9569941163063049,66.70543670654297,-28.049835205078125,-0.0,-0.0,-0.17209933081766612,0.9850796010130914,-0.0033203846356281742,-0.0004541766790622589,0.0,0.0,0.0,8.849968129462901e-05
1696102190.309692150,map,base_link,-0.9572350382804871,66.70576477050781,-28.050212860107422,-0.0,-0.0,-0.1721007029618556,0.9850793612902643,-0.004808414820999547,-0.0006569340807195858,0.0,0.0,0.0,-0.0007544418156254447
1696102190.410649885,map,base_link,-0.9570133090019226,66.70561981201172,-28.050073623657227,-0.0,-0.0,-0.17210381555871285,0.9850788174913379,-0.003643746496959122,-0.000496471161277115,0.0,0.0,0.0,-0.00023502820371321044
1696102190.510774192,map,base_link,-0.9569371938705444,66.7057113647461,-28.05027961730957,-0.0,-0.0,-0.172099371985662,0.9850795938207941,-0.0032287960480276486,-0.0004416330410898756,0.0,0.0,0.0,0.0003874774785850557
1696102190.613356767,map,base_link,-0.9565626382827759,66.70629119873047,-28.05186653137207,-0.0,-0.0,-0.17210165140189643,0.9850791955902531,-0.0035484726335882556,-0.0004843997630198141,0.0,0.0,0.0,-0.004207964162055548
1696102190.723992566,map,base_link,-0.9567018151283264,66.7061996459961,-28.051132202148438,-0.0,-0.0,-0.17210117732784924,0.9850792784148736,-0.00312708493074249,-0.0004270520598186088,0.0,0.0,0.0,-0.0006340745974969233
1696102190.812866610,map,base_link,-0.9565110206604004,66.70600128173828,-28.050203323364258,-0.0,-0.0,-0.1720962947602189,0.9850801314257657,-0.0009342811274542452,-0.00012813119930936802,0.0,0.0,0.0,0.00708823570006169
1696102190.913285676,map,base_link,-0.9562715291976929,66.7068099975586,-28.051881790161133,-0.0,-0.0,-0.17209588225687333,0.985080203491182,-0.0033783809669977916,-0.00046349037876090534,0.0,0.0,0.0,0.0007125103169160218
1696102191.16351655,map,base_link,-0.9565266370773315,66.70673370361328,-28.05195426940918,-0.0,-0.0,-0.17210059746210116,0.9850793797218516,-0.0032134135143180335,-0.00043906237272438124,0.0,0.0,0.0,0.0001283121096332462
1696102191.115126808,map,base_link,-0.9568329453468323,66.70679473876953,-28.053688049316406,-0.0,-0.0,-0.17210101782056686,0.98507930628205,-0.0033899200144775266,-0.0004630103498100939,0.0,0.0,0.0,-0.007847953281737778
1696102191.215278028,map,base_link,-0.9563699960708618,66.70680236816406,-28.050701141357422,-0.0,-0.0,-0.17210461107678374,0.9850786785054831,-0.0023163236914215176,-0.0003153875752155853,0.0,0.0,0.0,0.007496880011877632
1696102191.318537068,map,base_link,-0.9568573832511902,66.70681762695312,-28.050609588623047,-0.0,-0.0,-0.17210589561440715,0.9850784540810761,-0.002478015776249475,-0.00033702621687504595,0.0,0.0,0.0,0.009426246791228074
1696102191.406928348,map,base_link,-0.9569475054740906,66.70711517333984,-28.049678802490234,-0.0,-0.0,-0.17211059034940196,0.9850776338388667,-0.0036500236616477852,-0.0004943967942136218,0.0,0.0,0.0,0.00929878897893711
1696102191.507540314,map,base_link,-0.9572861790657043,66.70700073242188,-28.052736282348633,-0.0,-0.0,-0.17210435980154806,0.985078722406133,-0.0032228315134716686,-0.0004389124340295377,0.0,0.0,0.0,-0.0002828764318328509
1696102191.610419665,map,base_link,-0.9577483534812927,66.70734405517578,-28.053224563598633,-0.0,-0.0,-0.17210560885245169,0.9850785041820408,-0.004379875190279274,-0.0005958402400813879,0.0,0.0,0.0,-0.0013661385652368188
1696102191.708795864,map,base_link,-0.9574441313743591,66.70711517333984,-28.053091049194336,-0.0,-0.0,-0.17210014616239092,0.9850794585671167,-0.0025874293620038714,-0.00035366986517326607,0.0,0.0,0.0,-0.0004409796397006691
1696102191.810140777,map,base_link,-0.9577816724777222,66.70699310302734,-28.054718017578125,-0.0,-0.0,-0.17209453455084814,0.9850804389377179,-0.0016371606844472694,-0.00022486856476043555,0.0,0.0,0.0,-0.005891207462876251
1696102191.909945908,map,base_link,-0.9579253196716309,66.70720672607422,-28.05363655090332,-0.0,-0.0,-0.17208920428099317,0.9850813701263132,-0.002856892059097909,-0.0003942070574177165,0.0,0.0,0.0,-0.0005472235743087827
1696102192.11646541,map,base_link,-0.9587624073028564,66.70716094970703,-28.05245018005371,-0.0,-0.0,-0.17209377214726762,0.9850805721300793,-0.004412638220089506,-0.0006064868458907803,0.0,0.0,0.0,0.006429112788491456
1696102192.111448504,map,base_link,-0.9583575129508972,66.70723724365234,-28.053659439086914,-0.0,-0.0,-0.17209785878980666,0.9850798581840783,-0.0028874425860870856,-0.00039546067829445753,0.0,0.0,0.0,0.0002664009160100544
